Fecha/Hora;Econsumida
30-08-2023 5:00;25,07
30-08-2023 6:00;23,42
30-08-2023 7:00;25,66
30-08-2023 8:00;27,89
30-08-2023 9:00;29,85
30-08-2023 10:00;31,63
30-08-2023 11:00;32,48
30-08-2023 12:00;35,18
30-08-2023 13:00;35,67
30-08-2023 14:00;35,6
30-08-2023 15:00;33,56
30-08-2023 16:00;32,82
30-08-2023 17:00;33,48
30-08-2023 18:00;33,83
30-08-2023 19:00;38,33
30-08-2023 20:00;38,44
30-08-2023 21:00;37,93
30-08-2023 22:00;36,65
30-08-2023 23:00;33,03
31-08-2023 0:00;27,71
31-08-2023 1:00;24,5
31-08-2023 2:00;23,54
31-08-2023 3:00;23,16
31-08-2023 4:00;22,95
31-08-2023 5:00;22,78
31-08-2023 6:00;25,59
31-08-2023 7:00;27,66
31-08-2023 8:00;31,09
31-08-2023 9:00;29,76
31-08-2023 10:00;33,16
31-08-2023 11:00;32,1
31-08-2023 12:00;33,32
31-08-2023 13:00;35,72
31-08-2023 14:00;34,59
31-08-2023 15:00;32,81
31-08-2023 16:00;32,87
31-08-2023 17:00;29,93
31-08-2023 18:00;32,21
31-08-2023 19:00;34,7
31-08-2023 20:00;36,1
31-08-2023 21:00;34,8
31-08-2023 22:00;34,43
31-08-2023 23:00;31,71
;
